Offset-Description                                                                   
0000 - Pointer           27847640 : P->00F278E0        277A9B40 : P->00F278E0        
0094 - 4 Bytes (Hex)     278476D4 : FFFF0013           277A9BD4 : FFFF000E           
0098 - Pointer           278476D8 : P->277EC3D0        277A9BD8 : P->27745A20        
009C - Pointer           278476DC : P->00010000        277A9BDC : P->00020001        
00A0 - Pointer           278476E0 : P->33C0CD60        277A9BE0 : P->00000000        
00A4 - 4 Bytes           278476E4 : 2                  277A9BE4 : 0                  
00A8 - 4 Bytes           278476E8 : 4                  277A9BE8 : 2147483648         
00AC - 4 Bytes           278476EC : 0                  277A9BEC : 869013792          
00B0 - 4 Bytes           278476F0 : 0                  277A9BF0 : 16                 
00B4 - 4 Bytes (Hex)     278476F4 : 80000000           277A9BF4 : 00000010           
00B8 - Pointer to instance of hkpSimulationIsland278476F8 : P->33E15180        277A9BF8 : P->33E15180        
00BC - 4 Bytes           278476FC : 0                  277A9BFC : 1113718784         
00C0 - 4 Bytes           27847700 : 1600               277A9C00 : 1718               
00C4 - 4 Bytes           27847704 : 0                  277A9C04 : 0                  
00C8 - Pointer           27847708 : P->01030000        277A9C08 : P->01030000        
00CC - Pointer           2784770C : P->278728E0        277A9C0C : P->33CC1930        
00D0 - Pointer           27847710 : P->00FAE99C        277A9C10 : P->00FAE99C        
00D4 - Pointer           27847714 : P->00010000        277A9C14 : P->00010000        
00D8 - 4 Bytes (Hex)     27847718 : 0000FF04           277A9C18 : 0000FF04           
00DC - Double            2784771C : 0.00003677688073366277A9C1C : 0.0059856399894187 
00E4 - Float             27847724 : 0.0156847015       277A9C24 : 0.009965930134     
00E8 - Float             27847728 : 0.8583533764       277A9C28 : -0.2398037463      
00EC - Float             2784772C : -0.01752976514     277A9C2C : 0.01014045905      
00F0 - Float             27847730 : -0.02309360355     277A9C30 : -0.01210657321     
00F4 - Float             27847734 : 0.9997233152       277A9C34 : 0.9998989105       
00F8 - Float             27847738 : -0.004470795859    277A9C38 : -0.007455169223    
00FC - Float             2784773C : -0.8581860065      277A9C3C : 0.2397052199       
0100 - Float             27847740 : -0.8581860065      277A9C40 : 0.2397052199       
0104 - Float             27847744 : -0.01752976514     277A9C44 : 0.01014045905      
0108 - Float             27847748 : 0.5130393505       277A9C48 : 0.9707927704       
010C - 4 Bytes           2784774C : 0                  277A9C4C : 0                  
0110 - Float             27847750 : -109.9514236       277A9C50 : -196.3519135       
0114 - Float             27847754 : 235.562851         277A9C54 : 222.1013031        
0118 - Float             27847758 : -896.5888062       277A9C58 : -614.149353        
011C - Float             2784775C : 72.98218536        277A9C5C : 72.18777466        
0120 - Float             27847760 : -110.4021759       277A9C60 : -196.23909         
0124 - String            27847764 : 2ZlCi              277A9C64 : ^C"              
0129 - Byte              27847769 : 21                 277A9C69 : 107                
012A - Byte              2784776A : 96                 277A9C6A : 25                 
012B - Byte              2784776B : 196                277A9C6B : 196                
012C - Float             2784776C : 45.17597198        277A9C6C : 45.17597198        
0130 - Float             27847770 : -109.969902        277A9C70 : -196.3573608       
0134 - Byte              27847774 : 213                277A9C74 : 31                 
0135 - Byte              27847775 : 92                 277A9C75 : 141                
0136 - 2 Bytes           27847776 : 17260              277A9C76 : 17246              
0138 - Float             27847778 : -896.5924072       277A9C78 : -614.15271         
013C - Float             2784777C : 72.29563904        277A9C7C : 72.29563904        
0140 - String            27847780 : hhT;               277A9C80 : ¯7‘»               
0144 - Float             27847784 : -0.4934298694      277A9C84 : 0.120764181        
0148 - Float             27847788 : 0.01133519504      277A9C88 : 0.005558261648     
014C - Float             2784778C : 0.8697056174       277A9C8C : 0.9926556945       
0150 - Float             27847790 : 0.003753829049     277A9C90 : -0.004431453068    
0154 - Float             27847794 : -0.4934229553      277A9C94 : 0.1207641736       
0158 - Float             27847798 : 0.01114690769      277A9C98 : 0.005558952689     
015C - Float             2784779C : 0.869709909        277A9C9C : 0.9926556945       
0160 - Double            278477A0 : 0.00087890634313225277A9CA0 : 0.000010681149433367
0168 - 4 Bytes           278477A8 : 0                  277A9CA8 : 0                  
016C - 4 Bytes           278477AC : 0                  277A9CAC : 0                  
0170 - Float             278477B0 : 0.001077499706     277A9CB0 : 6.309913374E-7     
0174 - Float             278477B4 : 0.00002912590026   277A9CB4 : -2.685688782E-9    
0178 - Pointer           278477B8 : P->393B1C26        277A9CB8 : P->35B09543        
017C - Float             278477BC : 0.001092563616     277A9CBC : 1.459137479E-6     
0180 - Byte              278477C0 : 166                277A9CC0 : 6                  
0181 - Byte              278477C1 : 76                 277A9CC1 : 150                
0182 - Byte              278477C2 : 114                277A9CC2 : 195                
0183 - Byte              278477C3 : 64                 277A9CC3 : 63                 
0184 - 4 Bytes           278477C4 : 0                  277A9CC4 : 0                  
0188 - Float             278477C8 : 0.05000000075      277A9CC8 : 0.05000000075      
018C - 4 Bytes (Hex)     278477CC : 00027F7F           277A9CCC : 00027F7F           
0190 - Pointer           278477D0 : P->396FACAD        277A9CD0 : P->3BD00D01        
0194 - Pointer           278477D4 : P->3976B949        277A9CD4 : P->3BB79301        
0198 - Float             278477D8 : 0.0004444444494    277A9CD8 : 0.01098901127      
019C - Float             278477DC : 0.0003999999899    277A9CDC : 0.002857142827     
01A0 - Float             278477E0 : 31.25047302        277A9CE0 : -8.550741196       
01A4 - Float             278477E4 : 0.6941941977       277A9CE4 : -0.04043313861     
01A8 - Float             278477E8 : -18.6430397        277A9CE8 : -34.61405945       
01AC - Float             278477EC : -0.0003974876599   277A9CEC : 0                  
01B0 - Float             278477F0 : 0.07778924704      277A9CF0 : 0.00002339032108   
01B4 - Float             278477F4 : 0.00201431755      277A9CF4 : -1.134504828E-6    
01B8 - Float             278477F8 : 0.01274221204      277A9CF8 : 5.094939752E-6     
01BC - Float             278477FC : -0.000993420952    277A9CFC : -1.311385347E-7    
01C0 - Byte              27847800 : 255                277A9D00 : 0                  
01C1 - String            27847801 : Uk@\               277A9D01 :                    
01C5 - Byte              27847805 : 217                277A9D05 : 0                  
01C6 - Byte              27847806 : 95                 277A9D06 : 0                  
01C7 - Byte              27847807 : 67                 277A9D07 : 0                  
01C8 - Float             27847808 : -21.30298615       277A9D08 : 0                  
01CC - String            2784780C : oo4<Jlk@           277A9D0C :                    
01D4 - Float             27847814 : 223.8271332        277A9D14 : 201.1641693        
01D8 - Float             27847818 : -21.29388237       277A9D18 : 419.0106201        
01DC - Float             2784781C : 0.006811328232     277A9D1C : 0                  
01E0 - 4 Bytes (Hex)     27847820 : EC815580           277A9D20 : 00000000           
01E4 - 4 Bytes (Hex)     27847824 : EC805580           277A9D24 : D2802D80           
01E8 - 4 Bytes           27847828 : 0                  277A9D28 : 0                  
01EC - 4 Bytes           2784782C : 0                  277A9D2C : 0                  
01F0 - Pointer           27847830 : P->27867C08        277A9D30 : P->33CB6680        
01F4 - Pointer           27847834 : P->00010001        277A9D34 : P->00020002        
01F8 - Pointer           27847838 : P->27894A60        277A9D38 : P->33C8BF10        
01FC - Pointer           2784783C : P->00040003        277A9D3C : P->00040003        
0200 - Pointer to instance of hkBoyancy27847840 : P->26FCC040        277A9D40 : P->2788A700        
0204 - 4 Bytes           27847844 : 0                  277A9D44 : 1113791476         
0208 - 4 Bytes           27847848 : 0                  277A9D48 : 1113792270         
020C - 4 Bytes           2784784C : 0                  277A9D4C : 1113792270         
0210 - 4 Bytes           27847850 : 0                  277A9D50 : 0                  
0214 - 4 Bytes           27847854 : 0                  277A9D54 : 0                  
0218 - 4 Bytes           27847858 : 0                  277A9D58 : 0                  
021C - 4 Bytes           2784785C : 0                  277A9D5C : 0                  
0220 - 4 Bytes           27847860 : 0                  277A9D60 : 0                  
0224 - 4 Bytes           27847864 : 0                  277A9D64 : 0                  
0228 - 4 Bytes           27847868 : 0                  277A9D68 : 0                  
022C - 4 Bytes           2784786C : 0                  277A9D6C : 0                  
0230 - 4 Bytes           27847870 : 0                  277A9D70 : 0                  
0234 - 4 Bytes           27847874 : 0                  277A9D74 : 0                  
0238 - 4 Bytes           27847878 : 0                  277A9D78 : 0                  
023C - 4 Bytes           2784787C : 0                  277A9D7C : 0                  
0240 - 4 Bytes           27847880 : 0                  277A9D80 : 0                  
0244 - 4 Bytes           27847884 : 0                  277A9D84 : 0                  
0248 - 4 Bytes           27847888 : 0                  277A9D88 : 0                  
024C - 4 Bytes           2784788C : 0                  277A9D8C : 0                  
0250 - 4 Bytes           27847890 : 0                  277A9D90 : 0                  
0254 - 4 Bytes           27847894 : 0                  277A9D94 : 0                  
0258 - 4 Bytes           27847898 : 0                  277A9D98 : 0                  
025C - 4 Bytes           2784789C : 0                  277A9D9C : 0                  
0260 - 4 Bytes           278478A0 : 0                  277A9DA0 : 0                  
0264 - 4 Bytes           278478A4 : 0                  277A9DA4 : 0                  
0268 - 4 Bytes           278478A8 : 0                  277A9DA8 : 0                  
026C - 4 Bytes           278478AC : 0                  277A9DAC : 0                  
0270 - 4 Bytes           278478B0 : 0                  277A9DB0 : 0                  
0274 - 4 Bytes           278478B4 : 0                  277A9DB4 : 0                  
0278 - 4 Bytes           278478B8 : 0                  277A9DB8 : 0                  
027C - 4 Bytes           278478BC : 0                  277A9DBC : 0                  
0280 - 4 Bytes           278478C0 : 0                  277A9DC0 : 0                  
0284 - 4 Bytes           278478C4 : 0                  277A9DC4 : 0                  
0288 - 4 Bytes           278478C8 : 0                  277A9DC8 : 0                  
028C - 4 Bytes           278478CC : 0                  277A9DCC : 0                  
0290 - 4 Bytes           278478D0 : 0                  277A9DD0 : 0                  
0294 - 4 Bytes           278478D4 : 0                  277A9DD4 : 0                  
0298 - 4 Bytes           278478D8 : 0                  277A9DD8 : 0                  
029C - 4 Bytes           278478DC : 0                  277A9DDC : 0                  
02A0 - 4 Bytes           278478E0 : 0                  277A9DE0 : 0                  
02A4 - 4 Bytes           278478E4 : 0                  277A9DE4 : 0                  
02A8 - 4 Bytes           278478E8 : 0                  277A9DE8 : 0                  
02AC - 4 Bytes           278478EC : 0                  277A9DEC : 0                  
02B0 - 4 Bytes           278478F0 : 0                  277A9DF0 : 0                  
02B4 - 4 Bytes           278478F4 : 0                  277A9DF4 : 0                  
02B8 - 4 Bytes           278478F8 : 0                  277A9DF8 : 0                  
02BC - 4 Bytes           278478FC : 0                  277A9DFC : 0                  
02C0 - 4 Bytes           27847900 : 0                  277A9E00 : 0                  
02C4 - 4 Bytes           27847904 : 0                  277A9E04 : 0                  
02C8 - 4 Bytes           27847908 : 0                  277A9E08 : 0                  
02CC - 4 Bytes           2784790C : 0                  277A9E0C : 0                  
02D0 - 4 Bytes           27847910 : 0                  277A9E10 : 0                  
02D4 - 4 Bytes           27847914 : 0                  277A9E14 : 0                  
02D8 - 4 Bytes           27847918 : 0                  277A9E18 : 0                  
02DC - 4 Bytes           2784791C : 0                  277A9E1C : 0                  
02E0 - 4 Bytes           27847920 : 0                  277A9E20 : 0                  
02E4 - 4 Bytes           27847924 : 0                  277A9E24 : 0                  
02E8 - 4 Bytes           27847928 : 0                  277A9E28 : 0                  
02EC - 4 Bytes           2784792C : 0                  277A9E2C : 0                  
02F0 - 4 Bytes           27847930 : 0                  277A9E30 : 0                  
02F4 - 4 Bytes           27847934 : 0                  277A9E34 : 0                  
02F8 - 4 Bytes           27847938 : 0                  277A9E38 : 0                  
02FC - 4 Bytes           2784793C : 0                  277A9E3C : 0                  
0300 - 4 Bytes           27847940 : 0                  277A9E40 : 0                  
0304 - 4 Bytes           27847944 : 0                  277A9E44 : 0                  
0308 - 4 Bytes           27847948 : 0                  277A9E48 : 0                  
030C - 4 Bytes           2784794C : 0                  277A9E4C : 0                  
0310 - 4 Bytes           27847950 : 0                  277A9E50 : 0                  
0314 - 4 Bytes           27847954 : 0                  277A9E54 : 0                  
0318 - 4 Bytes           27847958 : 0                  277A9E58 : 0                  
031C - 4 Bytes           2784795C : 0                  277A9E5C : 0                  
0320 - 4 Bytes           27847960 : 0                  277A9E60 : 0                  
0324 - 4 Bytes           27847964 : 0                  277A9E64 : 0                  
0328 - 4 Bytes           27847968 : 0                  277A9E68 : 0                  
032C - 4 Bytes           2784796C : 0                  277A9E6C : 0                  
0330 - 4 Bytes           27847970 : 0                  277A9E70 : 0                  
0334 - 4 Bytes           27847974 : 0                  277A9E74 : 0                  
0338 - 4 Bytes           27847978 : 0                  277A9E78 : 0                  
033C - 4 Bytes           2784797C : 0                  277A9E7C : 0                  
0340 - 4 Bytes           27847980 : 0                  277A9E80 : 0                  
0344 - 4 Bytes           27847984 : 0                  277A9E84 : 0                  
0348 - 4 Bytes           27847988 : 0                  277A9E88 : 0                  
034C - 4 Bytes           2784798C : 0                  277A9E8C : 0                  
0350 - 4 Bytes           27847990 : 0                  277A9E90 : 0                  
0354 - 4 Bytes           27847994 : 0                  277A9E94 : 0                  
0358 - 4 Bytes           27847998 : 0                  277A9E98 : 0                  
035C - 4 Bytes           2784799C : 0                  277A9E9C : 0                  
0360 - 4 Bytes           278479A0 : 0                  277A9EA0 : 0                  
0364 - 4 Bytes           278479A4 : 0                  277A9EA4 : 0                  
0368 - 4 Bytes           278479A8 : 0                  277A9EA8 : 0                  
036C - 4 Bytes           278479AC : 0                  277A9EAC : 0                  
0370 - 4 Bytes           278479B0 : 0                  277A9EB0 : 0                  
0374 - 4 Bytes           278479B4 : 0                  277A9EB4 : 0                  
0378 - 4 Bytes           278479B8 : 0                  277A9EB8 : 0                  
037C - 4 Bytes           278479BC : 0                  277A9EBC : 0                  
0380 - 4 Bytes           278479C0 : 0                  277A9EC0 : 0                  
0384 - 4 Bytes           278479C4 : 0                  277A9EC4 : 0                  
0388 - 4 Bytes           278479C8 : 0                  277A9EC8 : 0                  
038C - 4 Bytes           278479CC : 0                  277A9ECC : 0                  
0390 - 4 Bytes           278479D0 : 0                  277A9ED0 : 0                  
0394 - 4 Bytes           278479D4 : 0                  277A9ED4 : 0                  
0398 - 4 Bytes           278479D8 : 0                  277A9ED8 : 0                  
039C - 4 Bytes           278479DC : 0                  277A9EDC : 0                  
03A0 - 4 Bytes           278479E0 : 0                  277A9EE0 : 0                  
03A4 - 4 Bytes           278479E4 : 0                  277A9EE4 : 0                  
03A8 - 4 Bytes           278479E8 : 0                  277A9EE8 : 0                  
03AC - 4 Bytes           278479EC : 0                  277A9EEC : 0                  
03B0 - 4 Bytes           278479F0 : 0                  277A9EF0 : 0                  
03B4 - 4 Bytes           278479F4 : 0                  277A9EF4 : 0                  
03B8 - 4 Bytes           278479F8 : 0                  277A9EF8 : 0                  
03BC - 4 Bytes           278479FC : 0                  277A9EFC : 0                  
03C0 - 4 Bytes           27847A00 : 0                  277A9F00 : 0                  
03C4 - 4 Bytes           27847A04 : 0                  277A9F04 : 0                  
03C8 - 4 Bytes           27847A08 : 0                  277A9F08 : 0                  
03CC - 4 Bytes           27847A0C : 0                  277A9F0C : 0                  
03D0 - 4 Bytes           27847A10 : 0                  277A9F10 : 0                  
03D4 - 4 Bytes           27847A14 : 0                  277A9F14 : 0                  
03D8 - 4 Bytes           27847A18 : 0                  277A9F18 : 0                  
03DC - 4 Bytes           27847A1C : 0                  277A9F1C : 0                  
03E0 - 4 Bytes           27847A20 : 0                  277A9F20 : 0                  
03E4 - 4 Bytes           27847A24 : 0                  277A9F24 : 0                  
03E8 - 4 Bytes           27847A28 : 0                  277A9F28 : 0                  
03EC - 4 Bytes           27847A2C : 0                  277A9F2C : 0                  
03F0 - 4 Bytes           27847A30 : 0                  277A9F30 : 0                  
03F4 - 4 Bytes           27847A34 : 0                  277A9F34 : 0                  
03F8 - 4 Bytes           27847A38 : 0                  277A9F38 : 0                  
03FC - 4 Bytes           27847A3C : 0                  277A9F3C : 0                  
0400 - Float             27847A40 : -109.4320526       277A9F40 : 16.5181427         
0404 - Float             27847A44 : 235.8024292        277A9F44 : 17.09850883        
0408 - Float             27847A48 : -898.1112671       277A9F48 : 17.11126709        
040C - Float             27847A4C : 75.05731201        277A9F4C : 17.13033676        
0410 - Float             27847A50 : -0.02280529961     277A9F50 : -4.032894611       
0414 - Float             27847A54 : 0.9997110963       277A9F54 : -5.027256966       
0418 - Float             27847A58 : 0.007596681826     277A9F58 : -5.032212734       
041C - Float             27847A5C : 0.5787422061       277A9F5C : -5.038892269       
0420 - Float             27847A60 : 1                  277A9F60 : 41.00096512        
0424 - Pointer to instance of hkpRigidBody27847A64 : P->04938140        277A9F64 : P->422816DF        
0428 - Pointer to instance of CCustomSampledHeightFieldShape27847A68 : P->04937FE0        277A9F68 : P->4228263D        
042C - 4 Bytes           27847A6C : 0                  277A9F6C : 1109929883         
0430 - Float             27847A70 : -109.4470367       277A9F70 : 16.53357506        
0434 - Byte              27847A74 : 161                277A9F74 : 243                
0435 - String            27847A75 : YlC)               277A9F75 : O„A               
0439 - Byte              27847A79 : 132                277A9F79 : 108                
043A - Byte              27847A7A : 96                 277A9F7A : 132                
043B - Byte              27847A7B : 196                277A9F7B : 65                 
043C - Float             27847A7C : 74.58664703        277A9F7C : 16.59387207        
0440 - Float             27847A80 : -109.4279556       277A9F80 : -4.703301907       
0444 - Float             27847A84 : 235.6528625        277A9F84 : -4.703778744       
0448 - Float             27847A88 : -898.1239014       277A9F88 : -4.706953049       
044C - Float             27847A8C : 75.18584442        277A9F8C : -4.703547478       
0450 - Float             27847A90 : 0.09984284639      277A9F90 : 39.45192337        
0454 - 4 Bytes           27847A94 : 0                  277A9F94 : 1109243551         
0458 - 4 Bytes           27847A98 : 0                  277A9F98 : 1109237435         
045C - 4 Bytes           27847A9C : 0                  277A9F9C : 1109223201         
0460 - Float             27847AA0 : 0.02725498378      277A9FA0 : 17.71352577        
0464 - Float             27847AA4 : -0.9960812926      277A9FA4 : 17.73117828        
0468 - Float             27847AA8 : -0.08413816988     277A9FA8 : 17.73795319        
046C - Byte              27847AAC : 129                277A9FAC : 191                
046D - Byte              27847AAD : 34                 277A9FAD : 52                 
046E - Byte              27847AAE : 91                 277A9FAE : 140                
046F - Byte              27847AAF : 63                 277A9FAF : 65                 
0470 - Float             27847AB0 : 1                  277A9FB0 : -5.04914856        
0474 - 4 Bytes           27847AB4 : 0                  277A9FB4 : 3231816911         
0478 - 4 Bytes           27847AB8 : 0                  277A9FB8 : 3231819355         
047C - Double            27847ABC : 0.00003676605410873277A9FBC : 53760614403.1026   
0484 - Float             27847AC4 : 0.01651806571      277A9FC4 : 42.25957108        
0488 - Float             27847AC8 : 0.8583507538       277A9FC8 : 42.25595474        
048C - Float             27847ACC : -0.01682382636     277A9FCC : 41.16056061        
0490 - 4 Bytes (Hex)     27847AD0 : AFEF7BAD           277A9FD0 : 418C365B           
0494 - 4 Bytes (Hex)     27847AD4 : B1C791BA           277A9FD4 : 418C3B12           
0498 - Double            27847AD8 : 0.00781249883037023277A9FD8 : 59645288.1935206   
04A0 - Float             27847AE0 : 80.89313507        277A9FE0 : -2.086112738       
04A4 - Float             27847AE4 : 2764.705811        277A9FE4 : -2.082412481       
04A8 - 4 Bytes           27847AE8 : 0                  277A9FE8 : 3221522735         
04AC - Float             27847AEC : 690.7596436        277A9FEC : -2.069114923       
04B0 - 4 Bytes           27847AF0 : 0                  277A9FF0 : 1109696597         
04B4 - 4 Bytes           27847AF4 : 0                  277A9FF4 : 1109696257         
04B8 - 4 Bytes           27847AF8 : 0                  277A9FF8 : 1109695239         
04BC - 4 Bytes           27847AFC : 0                  277A9FFC : 1109695182         
04C0 - Float             27847B00 : -108.3664322       277AA000 : 17.89415169        
04C4 - Float             27847B04 : 235.808548         277AA004 : 17.90028381        
04C8 - Float             27847B08 : -896.3311768       277AA008 : 17.90504646        
04CC - Float             27847B0C : 75.04659271        277AA00C : 17.94250488        
04D0 - Float             27847B10 : -0.0197857134      277AA010 : -4.754898548       
04D4 - Float             27847B14 : 0.9997505546       277AA014 : -4.756512642       
04D8 - Float             27847B18 : 0.01035813335      277AA018 : -4.756461143       
04DC - Double            27847B1C : 0.0078125          277AA01C : 26930655261.7077   
04E4 - Pointer to instance of hkpRigidBody27847B24 : P->04938140        277AA024 : P->4219152E        
04E8 - Pointer to instance of CCustomSampledHeightFieldShape27847B28 : P->04937FE0        277AA028 : P->421915BA        
04EC - 4 Bytes           27847B2C : 0                  277AA02C : 1108986251         
04F0 - Float             27847B30 : -108.4264755       277AA030 : 17.94085884        
04F4 - Byte              27847B34 : 11                 277AA034 : 102                
04F5 - Byte              27847B35 : 98                 277AA035 : 141                
04F6 - 2 Bytes           27847B36 : 17260              277AA036 : 16783              
04F8 - Float             27847B38 : -896.3566895       277AA038 : 19.06033134        
04FC - Float             27847B3C : 74.55316925        277AA03C : 19.05529976        
0500 - Float             27847B40 : -108.3537674       277AA040 : -3.877881765       
0504 - Float             27847B44 : 235.6874542        277AA044 : -3.873130083       
0508 - Float             27847B48 : -896.3258057       277AA048 : -3.31327033        
050C - Float             27847B4C : 75.15060425        277AA04C : -3.279146194       
0510 - Float             27847B50 : 0.1281263232       277AA050 : 38.42387772        
0514 - 4 Bytes           27847B54 : 0                  277AA054 : 1108980540         
0518 - 4 Bytes           27847B58 : 0                  277AA058 : 1109828123         
051C - 4 Bytes           27847B5C : 0                  277AA05C : 1109824772         
0520 - Float             27847B60 : 0.1038639322       277AA060 : 19.0602169         
0524 - Float             27847B64 : -0.9936135411      277AA064 : 18.74424171        
0528 - Double            27847B68 : 0.00161690380338955277AA068 : 90184720.3959976   
0530 - Float             27847B70 : 1                  277AA070 : -3.287302971       
0534 - 4 Bytes           27847B74 : 0                  277AA074 : 3232690140         
0538 - 4 Bytes           27847B78 : 0                  277AA078 : 3222260138         
053C - Double            27847B7C : 0.00003676605410873277AA07C : 48521928712.6636   
0544 - Float             27847B84 : 0.01651806571      277AA084 : 40.31533051        
0548 - Float             27847B88 : 0.8583507538       277AA088 : 40.66134644        
054C - Float             27847B8C : -0.01682382636     277AA08C : 40.62601089        
0550 - Pointer           27847B90 : P->2FEF7BAD        277AA090 : P->41961540        
0554 - 4 Bytes (Hex)     27847B94 : B1C791BA           277AA094 : 41960F1D           
0558 - Double            27847B98 : 0.00781249883037023277AA098 : 92416976.3995948   
0560 - Float             27847BA0 : 80.89313507        277AA0A0 : -5.470820904       
0564 - Float             27847BA4 : 2764.705811        277AA0A4 : -5.469094276       
0568 - 4 Bytes           27847BA8 : 0                  277AA0A8 : 3231896517         
056C - Float             27847BAC : 690.7596436        277AA0AC : -5.462015152       
0570 - 4 Bytes           27847BB0 : 0                  277AA0B0 : 1109470404         
0574 - 4 Bytes           27847BB4 : 0                  277AA0B4 : 1109466788         
0578 - 4 Bytes           27847BB8 : 0                  277AA0B8 : 1109790600         
057C - 4 Bytes           27847BBC : 0                  277AA0BC : 1109460162         
0580 - Float             27847BC0 : -112.4232864       277AA0C0 : 19.15816307        
0584 - Float             27847BC4 : 235.7354126        277AA0C4 : 18.66499519        
0588 - Float             27847BC8 : -896.3398438       277AA0C8 : 18.65302277        
058C - Float             27847BCC : 75.06465149        277AA0CC : 18.65416718        
0590 - Float             27847BD0 : -0.01612595096     277AA0D0 : -5.092502594       
0594 - Float             27847BD4 : 0.9998394251       277AA0D4 : -3.824696302       
0598 - Float             27847BD8 : 0.007811245508     277AA0D8 : -3.854836702       
059C - Float             27847BDC : 1.103244066        277AA0DC : -3.862520695       
05A0 - Float             27847BE0 : 1                  277AA0E0 : 41.49577713        
05A4 - Pointer to instance of hkpRigidBody27847BE4 : P->04938140        277AA0E4 : P->421A3106        
05A8 - Pointer to instance of CCustomSampledHeightFieldShape27847BE8 : P->04937FE0        277AA0E8 : P->421A06CC        
05AC - 4 Bytes           27847BEC : 0                  277AA0EC : 1109001624         
05B0 - Float             27847BF0 : -112.4075165       277AA0F0 : 19.38611221        
05B4 - Byte              27847BF4 : 197                277AA0F4 : 109                
05B5 - Byte              27847BF5 : 74                 277AA0F5 : 14                 
05B6 - 2 Bytes           27847BF6 : 17260              277AA0F6 : 16795              
05B8 - Float             27847BF8 : -896.2952271       277AA0F8 : 19.38831139        
05BC - Float             27847BFC : 74.58664703        277AA0FC : 18.79004288        
05C0 - Float             27847C00 : -112.4272766       277AA100 : -3.072745085       
05C4 - Float             27847C04 : 235.5945892        277AA104 : -3.08629632        
05C8 - Float             27847C08 : -896.3511353       277AA108 : -3.078369141       
05CC - Float             27847C0C : 75.18557739        277AA10C : -4.749368191       
05D0 - Float             27847C10 : 0.1086677909       277AA110 : 40.52357101        
05D4 - 4 Bytes           27847C14 : 0                  277AA114 : 1109524522         
05D8 - 4 Bytes           27847C18 : 0                  277AA118 : 1109529504         
05DC - 4 Bytes           27847C1C : 0                  277AA11C : 1108968099         
05E0 - Float             27847C20 : -0.02822386846     277AA120 : 18.79670143        
05E4 - Float             27847C24 : -0.9964042306      277AA124 : 18.81204605        
05E8 - Float             27847C28 : -0.07988798618     277AA128 : 19.65689278        
05EC - Float             27847C2C : 0.8556188941       277AA12C : 19.65495491        
05F0 - Float             27847C30 : 1                  277AA130 : -4.753804207       
05F4 - 4 Bytes           27847C34 : 0                  277AA134 : 3231221016         
05F8 - 4 Bytes           27847C38 : 0                  277AA138 : 3231659893         
